"label","benchmark","n","elapsed_sec","timestamp"
"pre-phase2","hotsax_ecg0606_4disc",10,0.25,"2026-07-08 13:46:35"
"pre-phase2","hotsax_ecg0606_4disc",10,0.253,"2026-07-08 13:46:35"
"pre-phase2","hotsax_ecg0606_4disc",10,0.253,"2026-07-08 13:46:35"
"pre-phase2","hotsax_ecg0606_4disc",10,0.253,"2026-07-08 13:46:35"
"pre-phase2","hotsax_ecg0606_4disc",10,0.252,"2026-07-08 13:46:35"
"pre-phase2","hotsax_ecg0606_4disc",10,0.252,"2026-07-08 13:46:35"
"pre-phase2","hotsax_ecg0606_4disc",10,0.256,"2026-07-08 13:46:35"
"pre-phase2","hotsax_ecg0606_4disc",10,0.255,"2026-07-08 13:46:35"
"pre-phase2","hotsax_ecg0606_4disc",10,0.274,"2026-07-08 13:46:35"
"pre-phase2","hotsax_ecg0606_4disc",10,0.27,"2026-07-08 13:46:35"
"pre-phase2","hotsax_ecg0606_5disc",10,0.311,"2026-07-08 13:46:39"
"pre-phase2","hotsax_ecg0606_5disc",10,0.309,"2026-07-08 13:46:39"
"pre-phase2","hotsax_ecg0606_5disc",10,0.312,"2026-07-08 13:46:39"
"pre-phase2","hotsax_ecg0606_5disc",10,0.314,"2026-07-08 13:46:39"
"pre-phase2","hotsax_ecg0606_5disc",10,0.313000000000001,"2026-07-08 13:46:39"
"pre-phase2","hotsax_ecg0606_5disc",10,0.313,"2026-07-08 13:46:39"
"pre-phase2","hotsax_ecg0606_5disc",10,0.313,"2026-07-08 13:46:39"
"pre-phase2","hotsax_ecg0606_5disc",10,0.311999999999999,"2026-07-08 13:46:39"
"pre-phase2","hotsax_ecg0606_5disc",10,0.312,"2026-07-08 13:46:39"
"pre-phase2","hotsax_ecg0606_5disc",10,0.31,"2026-07-08 13:46:39"
"pre-phase2","hotsax_medium_4disc",5,22.389,"2026-07-08 13:49:16"
"pre-phase2","hotsax_medium_4disc",5,22.4,"2026-07-08 13:49:16"
"pre-phase2","hotsax_medium_4disc",5,22.391,"2026-07-08 13:49:16"
"pre-phase2","hotsax_medium_4disc",5,22.394,"2026-07-08 13:49:16"
"pre-phase2","hotsax_medium_4disc",5,22.386,"2026-07-08 13:49:16"
"pre-phase2","brute_ecg0606_4disc",5,0.876000000000005,"2026-07-08 13:49:22"
"pre-phase2","brute_ecg0606_4disc",5,0.875,"2026-07-08 13:49:22"
"pre-phase2","brute_ecg0606_4disc",5,0.865999999999985,"2026-07-08 13:49:22"
"pre-phase2","brute_ecg0606_4disc",5,0.867999999999995,"2026-07-08 13:49:22"
"pre-phase2","brute_ecg0606_4disc",5,0.867000000000019,"2026-07-08 13:49:22"
"pre-phase2","wordbag_ecg0606",10,0.00200000000000955,"2026-07-08 13:49:22"
"pre-phase2","wordbag_ecg0606",10,0.00300000000001432,"2026-07-08 13:49:22"
"pre-phase2","wordbag_ecg0606",10,0.00200000000000955,"2026-07-08 13:49:22"
"pre-phase2","wordbag_ecg0606",10,0.00200000000000955,"2026-07-08 13:49:22"
"pre-phase2","wordbag_ecg0606",10,0.00300000000001432,"2026-07-08 13:49:22"
